year,exporter_iso3,exporter_name,importer_iso3,importer_name,trade_value_thousand_usd,quantity_metric_tons,quantity_missing
2019,KAZ,Kazakhstan,CZE,Czechia,511581.161,990397.0,0
2019,AGO,Angola,ITA,Italy,509766.932,1100699.989,0
2019,USA,USA,NOR,Norway,507151.707,991825.076,0
2019,AGO,Angola,ZAF,South Africa,506816.657,1142118.034,0
2019,BRN,Brunei Darussalam,THA,Thailand,500136.839,1069953.0,0
2019,LBY,Libya,THA,Thailand,495185.415,1004120.0,0
2019,GNQ,Equatorial Guinea,ESP,Spain,493188.514,1048320.0,0
2019,KAZ,Kazakhstan,USA,USA,490488.973,1067439.655,0
2019,AGO,Angola,FRA,France,483428.751,951699.861,0
2019,LBY,Libya,NLD,Netherlands,478769.874,944339.531,0
2019,DZA,Algeria,KOR,Rep. of Korea,465408.674,885954.7,0
2019,AUS,Australia,KOR,Rep. of Korea,462953.393,918864.852,0
2019,IRQ,Iraq,SRB,Serbia,459725.222,1048642.42,0
2019,GBR,United Kingdom,FRA,France,455143.139,610129.173,0
2019,TCD,Chad,CHN,China,451197.175,940018.0,0
2019,MYS,Malaysia,NZL,New Zealand,447659.62,838355.346,0
2019,NGA,Nigeria,CHE,Switzerland,440043.364,935376.0,0
2019,CMR,Cameroon,CHN,China,438693.218,1016640.103,0
2019,KAZ,Kazakhstan,ISR,Israel,438351.294,888726.0,0
2019,AZE,Azerbaijan,GBR,United Kingdom,435717.039,887558.854,0
2019,DZA,Algeria,DEU,Germany,434797.915,858059.4,0
2019,QAT,Qatar,CHN,China,431998.922,858309.6,0
2019,KOR,Rep. of Korea,PHL,Philippines,430268.017,1030451.652,0
2019,KAZ,Kazakhstan,JPN,Japan,428430.679,905873.9,0
2019,IDN,Indonesia,AUS,Australia,424224.07,792029.432,0
2019,AGO,Angola,URY,Uruguay,423628.273,906615.082,0
2019,RUS,Russian Federation,CAN,Canada,420047.794,925312.919,0
2019,AZE,Azerbaijan,TUR,TÃ¼rkiye,417087.027,970054.0,0
2019,COD,Dem. Rep. of the Congo,CHN,China,415027.871,823020.0,0
2019,CMR,Cameroon,ITA,Italy,412521.006,943652.557,0
2019,AZE,Azerbaijan,HRV,Croatia,411141.631,889187.221,0
2019,DZA,Algeria,ARE,United Arab Emirates,407189.601,753960.8,0
2019,BRA,Brazil,NLD,Netherlands,406488.718,974519.0,0
2019,NGA,Nigeria,SEN,Senegal,403322.193,767522.0,0
2019,GBR,United Kingdom,POL,Poland,391173.769,741191.5,0
2019,COL,Colombia,NLD,Netherlands,390115.849,952561.2,0
2019,EGY,Egypt,CHN,China,389601.816,795189.3,0
2019,GBR,United Kingdom,NOR,Norway,386549.557,713239.146,0
2019,KAZ,Kazakhstan,CHE,Switzerland,382255.981,793995.452,0
2019,NOR,Norway,ITA,Italy,377337.327,756590.741,0
2019,NGA,Nigeria,CMR,Cameroon,375244.546,719477.0,0
2019,GAB,Gabon,SGP,Singapore,373322.218,746773.0,0
2019,NGA,Nigeria,THA,Thailand,372352.267,867291.0,0
2019,USA,USA,DOM,Dominican Rep.,369641.217,785066.42,0
2019,MNG,Mongolia,CHN,China,366565.38,887835.415,0
2019,AZE,Azerbaijan,PRT,Portugal,366482.233,778472.996,0
2019,ARE,United Arab Emirates,ZMB,Zambia,364351.104,5093.419,0
2019,BRN,Brunei Darussalam,SGP,Singapore,358945.277,856808.422,0
2019,AZE,Azerbaijan,THA,Thailand,358372.251,726674.117,0
2019,TUR,TÃ¼rkiye,GBR,United Kingdom,355930.329,691857.7,0
2019,CAN,Canada,IND,India,354873.665,882054.0,0
2019,VEN,Venezuela,SWE,Sweden,353487.6,1020990.0,0
2019,NZL,New Zealand,AUS,Australia,353023.641,814547.504,0
2019,LBY,Libya,SGP,Singapore,348177.323,700923.389,0
2019,KWT,Kuwait,THA,Thailand,346080.394,56230.9,0
2019,CMR,Cameroon,NLD,Netherlands,345238.078,528853.292,0
2019,CAN,Canada,ESP,Spain,345149.604,626608.407,0
2019,GHA,Ghana,IND,India,338359.576,718914.443,0
2019,KAZ,Kazakhstan,POL,Poland,330217.081,1473381.48,0
2019,CAN,Canada,ITA,Italy,324684.717,714056.523,0
2019,SAU,Saudi Arabia,GBR,United Kingdom,322546.246,682840.0,0
2019,USA,USA,POL,Poland,321652.473,648921.557,0
2019,THA,Thailand,CHN,China,318331.158,702512.479,0
2019,GAB,Gabon,KOR,Rep. of Korea,317306.665,596123.1,0
2019,SDN,Sudan,CHN,China,315549.363,631194.822,0
2019,EGY,Egypt,USA,USA,311912.208,647292.348,0
2019,NGA,Nigeria,AUS,Australia,310877.323,711600.0,0
2019,IDN,Indonesia,SGP,Singapore,310268.937,675705.359,0
2019,KAZ,Kazakhstan,HUN,Hungary,309857.314,630555.64,0
2019,NGA,Nigeria,SGP,Singapore,306211.216,583688.0,0
2019,DZA,Algeria,SGP,Singapore,306129.33,567203.0,0
2019,IRQ,Iraq,ROU,Romania,302555.458,671524.3,0
2019,LBY,Libya,GBR,United Kingdom,301106.2,612546.572,0
2019,DZA,Algeria,CHN,China,298817.302,539246.0,0
